שם עברית,תאריך דגימה,מספר זיהוי,B,BR,CA,CAFFE,CARBO,Cl,DO,DP-P,EC,ECFD,F,HARD,HCO3,K,Mg,NO2,NO3,ORP,PFBS,PFHpA,PFHxA,PFOA,PFOS,PHFD,PO4,SILT,SO4,SODIUM AS,SR,T,TDS,TN-N,TOC,TURB
ענבה,08/01/2015 00:00,17143,,,27.1,,,23.6,,,,,,,88.0,1.85,3.03,,2.9,,,,,,,,,,11.0,12.2,,,,,,
ענבה,09/01/2020 11:30,17143,,,25.9,,,5.0,,,,,,,111.0,1.8,2.3,,2.1,,,,,,,,,,,,,,,,,
ענבה,11/01/2015 00:00,17143,,,28.5,,,9.0,,,,,,,110.0,1.83,3.26,,2.9,,,,,,,,,,11.2,8.76,,,,,,
ענבה,13/03/2014 00:00,17143,,,22.6,,,6.4,,,,,,,97.0,1.6,2.0,,2.3,,,,,,,,,,8.7,7.1,,,,,,
ענבה,14/12/2016 00:00,17143,,,32.5,,,9.5,,,,,,,114.0,2.6,2.8,,7.0,,,,,,,,,,7.8,7.4,,,,,,
ענבה,15/03/2023 00:00,17143,,0.25,34.5,,,,,,,,,,121.0,,,,9.168,,,,,,,,3.06,,,,,,,3.857,5.12,
ענבה,16/02/2017 08:00,17143,,,32.6,,,7.6,,,,,,,114.8,1.4,2.9,,1.5,,,,,,,,,,7.3,7.1,,,,,,
ענבה,19/01/2018 00:00,17143,,,29.3,,,49.6,,,,,,,85.0,2.8,3.2,,1.8,,,,,,,,,,10.9,23.8,,,,,,
ענבה,26/01/2018 00:00,17143,,,39.9,,,23.8,,,,,,,143.0,3.6,3.8,,4.4,,,,,,,,,,14.6,18.9,,,,,,
ענבה,26/11/2014 00:00,17143,,,24.5,,,11.1,,,,,,,81.0,1.659,1.87,,2.7,,,,,,,,,,6.5,7.76,,,,,,
ענבה,27/11/2014 14:17,17143,,,33.6,,,19.5,,,,,,,112.0,2.674,3.67,,6.1,,,,,,,,,,14.6,12.91,,,,,,
עקרון - בית אלעזרי בסכרי המדי,01/01/2018 10:25,18178,,,63.5,,,137.5,,,,,,,205.0,10.1,20.2,,15.8,,,,,,,,,,58.7,89.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,01/02/1957 00:00,18178,,,,,,30.0,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,01/02/1994 00:00,18178,,,,,,41.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,01/02/2012 10:00,18178,,,35.62,,,40.2,,,,,,,135.0,5.6,7.59,,7.0,,,,,,,,,,17.3,26.23,,,,,,
עקרון - בית אלעזרי בסכרי המדי,01/02/2017 14:10,18178,,,71.7,,,261.4,,,,,,,249.6,12.8,32.3,,,,,,,,,,,,91.2,152.1,,,,,,
עקרון - בית אלעזרי בסכרי המדי,01/03/2009 13:30,18178,,,31.1,,,42.1,,,,,,,130.1,5.9,7.1,,7.2,,,,,,,,,,16.4,28.9,,,,,,
עקרון - בית אלעזרי בסכרי המדי,02/01/1983 00:00,18178,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,02/02/2012 14:00,18178,,,58.04,,,113.1,,,,,,,231.0,9.15,17.52,,17.17,,,,,,,,,,52.9,76.04,,,,,,
עקרון - בית אלעזרי בסכרי המדי,02/02/2020 09:12,18178,,,,,,,,,,,,,,,,,33.6,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,02/03/1980 00:00,18178,,,,,,40.0,,,,,,,,,,,,,,,,,,,,2.639,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,02/03/2012 12:00,18178,,,47.57,,,87.8,,,,,,,193.0,7.47,13.62,,14.3,,,,,,,,,,38.7,60.18,,,,,,
עקרון - בית אלעזרי בסכרי המדי,03/01/2017 14:30,18178,,,109.1,,,340.1,,,,,,,277.0,36.9,36.8,,,,,,,,,,,,114.4,179.6,,,,,,
עקרון - בית אלעזרי בסכרי המדי,03/02/1957 00:00,18178,,,,,,105.0,,,,,,,,,,,,,,,,,,,,1.32,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,03/11/2009 11:00,18178,,,26.945,,,14.4,,,,,,,105.4,4.553,3.839,,6.8,,,,,,,,,,8.0,11.215,,,,,,
עקרון - בית אלעזרי בסכרי המדי,03/12/1991 10:30,18178,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,04/02/1997 00:00,18178,,0.4,63.0,,,218.0,,,,,,,164.0,9.0,24.0,,11.0,,,,,,,,,,59.0,110.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,04/12/1991 11:44,18178,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,05/01/1983 00:00,18178,,,,,,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,05/12/1991 11:00,18178,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,06/01/1956 00:00,18178,,,,,,23.0,,,,,,12.0,,,,,,,,,,,,,,1.05,,,,,195.0,,,
עקרון - בית אלעזרי בסכרי המדי,06/01/1958 00:00,18178,,,,,,53.0,,,,,,,,,,,,,,,,,,,,0.117,,,,,153.0,,,
עקרון - בית אלעזרי בסכרי המדי,06/02/2005 16:20,18178,,,,,,33.05,,,,,,,,,,,8.62,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,07/01/1958 00:00,18178,,,,,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,272.0,,,
עקרון - בית אלעזרי בסכרי המדי,07/02/2023 00:00,18178,,,41.8,,,91.918,,,,,,,,7.32,,,,,,,,,,,1.175,,,,,,,4.116,7.188,
עקרון - בית אלעזרי בסכרי המדי,07/12/1955 00:00,18178,,,,,,20.0,,,,,,8.0,,,,,,,,,,,,8.1,,3.525,,,,,115.0,,,
עקרון - בית אלעזרי בסכרי המדי,07/12/1957 00:00,18178,,,,,,35.0,,,,,,,,,,,,,,,,,,,,2.876,,,,,157.0,,,
עקרון - בית אלעזרי בסכרי המדי,08/01/1956 00:00,18178,,,,,,63.0,,,,,,21.0,,,,,,,,,,,,,,,,,,,370.0,,,
עקרון - בית אלעזרי בסכרי המדי,08/01/2013 12:00,18178,,,21.8,,,22.0,,,,,,,93.0,4.2,4.7,,7.9,,,,,,,,,,12.1,20.3,,,,,,
עקרון - בית אלעזרי בסכרי המדי,08/02/1961 00:00,18178,,,,,,22.0,,,290.0,,,10.0,,,,,,,,,,,,,,3.1,,,,,172.0,,,
עקרון - בית אלעזרי בסכרי המדי,08/02/1971 00:00,18178,,,,,,36.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,08/03/2021 00:00,18178,,,79.9,,,,,,,,,,283.0,9.2,,,38.0,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,08/12/1955 00:00,18178,,,,,,30.0,,,,,,10.0,,,,,,,,,,,,8.2,,1.6,,,,,156.0,,,
עקרון - בית אלעזרי בסכרי המדי,08/12/1957 00:00,18178,,,,,,30.0,,,,,,,,,,,,,,,,,,,,1.952,,,,,159.0,,,
עקרון - בית אלעזרי בסכרי המדי,09/01/2013 12:00,18178,,,37.9,,,65.7,,,,,,,155.0,6.0,10.0,,15.5,,,,,,,,,,30.2,47.9,,,,,,
עקרון - בית אלעזרי בסכרי המדי,09/02/1961 00:00,18178,,,,,,37.0,,,383.0,,,12.0,,,,,,,,,,,,,,2.42,,,,,250.0,,,
עקרון - בית אלעזרי בסכרי המדי,09/02/2003 00:00,18178,0.071,,43.14,,,27.57,,,,,,,166.7,5.93,8.62,,7.33,,,,,,,,,,9.3,23.13,,,,,,
עקרון - בית אלעזרי בסכרי המדי,09/11/1955 00:00,18178,,,,,,20.0,,,,,,9.0,,,,,,,,,,,,8.3,,0.525,,,,,140.0,,,
עקרון - בית אלעזרי בסכרי המדי,09/11/1986 00:00,18178,,,30.0,,,39.0,,,,,,,121.0,6.0,7.3,,11.0,,,,,,,,,2.72,22.0,37.5,,,,,,
עקרון - בית אלעזרי בסכרי המדי,09/12/2018 13:30,18178,,,53.3,,,96.9,,,,,,,166.0,10.0,,,32.4,,,,,,,,,,54.4,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,10/01/1958 00:00,18178,,,,,,38.0,,,,,,,,,,,,,,,,,,,,1.069,,,,,121.0,,,
עקרון - בית אלעזרי בסכרי המדי,10/01/1961 00:00,18178,,,,,,22.0,,,306.0,,,14.0,,,,,,,,,,,,,,0.23,,,,,180.0,,,
עקרון - בית אלעזרי בסכרי המדי,10/02/1986 00:00,18178,,,,,,232.0,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,10/03/2011 00:00,18178,,,31.02,,,35.81,,,,,,,132.0,3.24,5.68,,4.66,,,,,,,,,,14.07,27.63,,,,,,
עקרון - בית אלעזרי בסכרי המדי,10/04/2018 12:05,18178,,,25.4,,,8.2,,,,,,,94.0,3.2,2.9,,3.1,,,,,,,,,,11.1,11.352,,,,,,
עקרון - בית אלעזרי בסכרי המדי,10/11/1986 00:00,18178,,,60.0,,,128.0,,,,,,,178.0,8.0,16.0,,20.0,,,,,,,,,0.255,53.0,83.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,11/01/1958 00:00,18178,,,,,,63.0,,,,,,,,,,,,,,,,,,,,0.155,,,,,199.0,,,
עקרון - בית אלעזרי בסכרי המדי,11/01/1965 00:00,18178,,,,,,56.0,,,,,,,,,,,,,,,,,,,,2.03,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,11/01/2015 00:00,18178,,,25.1,,,35.4,,,,,,,107.0,4.64,6.68,,10.3,,,,,,,,,,16.6,24.76,,,,,,
עקרון - בית אלעזרי בסכרי המדי,11/02/2019 12:25,18178,,,45.2,,,98.7,,,,,,,185.0,6.6,14.5,,12.7,,,,,,,,,,49.9,63.8,,,,,,
עקרון - בית אלעזרי בסכרי המדי,11/11/1986 00:00,18178,,,92.0,,,252.0,,,,,,,256.0,9.0,28.0,,23.0,,,,,,,,,0.079,72.0,155.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,12/12/2013 09:40,18178,,,51.9,,,179.6,,,,,,,125.0,8.9,17.6,,17.0,,,,,,,,,,59.4,83.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,13/01/2015 00:00,18178,,,102.5,,,373.3,,,,,,,283.0,10.73,40.17,,30.1,,,,,,,,,,126.777,201.24,,,,,,
עקרון - בית אלעזרי בסכרי המדי,13/04/1971 00:00,18178,,,,,,24.0,,,,,,,,,,,,,,,,,,,,5.77,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,13/12/1970 00:00,18178,,,,,,26.0,,,,,,,,,,,,,,,,,,,,5.06,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,13/12/2010 15:10,18178,,,27.03,,,48.1,,,,,,,88.7,6.05,6.15,,13.9,,,,,,,,,,19.6,27.41,,,,,,
עקרון - בית אלעזרי בסכרי המדי,14/03/2007 13:10,18178,0.082,0.1,28.8,,,31.5,,,,,,,207.0,10.82,8.6,,3.6,,,,,,,,,,17.4,58.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,14/12/1961 00:00,18178,,,,,,27.5,,,280.0,,,9.8,,,,,,,,,,,,,,9.387,,,,,130.0,,,
עקרון - בית אלעזרי בסכרי המדי,14/12/1964 00:00,18178,,,,,,32.0,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,15/12/1955 00:00,18178,,,,,,23.0,,,,,,11.0,,,,,,,,,,,,8.1,,1.075,,,,,115.0,,,
עקרון - בית אלעזרי בסכרי המדי,16/01/1973 00:00,18178,,,,,,161.0,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,16/01/1974 00:00,18178,,,,,,37.0,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,16/02/1961 00:00,18178,,,,,,25.0,,,284.0,,,14.0,,,,,,,,,,,,,,1.73,,,,,225.0,,,
עקרון - בית אלעזרי בסכרי המדי,16/03/1997 00:00,18178,,0.0,48.0,,,47.0,,,,,,,167.0,7.0,11.0,,15.0,,,,,,,,,,20.0,31.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,16/04/1971 00:00,18178,,,,,,25.0,,,,,,,,,,,,,,,,,,,,6.78,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,17/01/1973 00:00,18178,,,,,,128.0,,,,,,,,,,,,,,,,,,,,0.465,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,17/01/1974 00:00,18178,,,,,,40.0,,,,,,,,,,,,,,,,,,,,2.619,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,17/12/1992 13:19,18178,,,,,,148.0,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,18/01/1983 00:00,18178,,,,,,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,18/02/1988 00:00,18178,,,44.0,,,52.0,,,,,,,192.0,5.6,11.0,,24.0,,,,,,,,,,32.0,47.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,18/02/2021 12:45,18178,,0.3,,,,,,,,,,,135.0,6.5,,,14.6,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,19/01/1965 00:00,18178,,,,,,56.0,,,,,,,,,,,,,,,,,,,,4.71,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,19/01/1983 00:00,18178,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,19/02/1988 00:00,18178,,,99.0,,,165.0,,,,,,,314.0,9.7,22.0,,39.0,,,,,,,,,,76.0,107.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,19/03/1998 09:10,18178,,,59.0,,,132.0,,,,,,,169.0,9.0,19.0,,20.0,,,,,,,,,,38.0,73.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,19/11/2020 00:00,18178,,,,,,,,,,,,,246.0,,,,33.2,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,19/12/1966 00:00,18178,,,,,,70.0,,,,,,,,,,,,,,,,,,,,6.58,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,20/01/2005 12:30,18178,0.151,,55.6,,,108.2,,,,,,,175.4,9.28,15.2,,21.26,,,,,,,,,,42.26,71.7,0.368,,,,,
עקרון - בית אלעזרי בסכרי המדי,20/02/1962 00:00,18178,,,,,,40.0,,,376.0,,,9.6,,,,,,,,,,,,,,1.045,,,,,180.0,,,
עקרון - בית אלעזרי בסכרי המדי,20/03/1969 00:00,18178,,,,,,22.6,,,,,,,,,,,,,,,,,,,,4.73,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,20/11/2011 00:00,18178,,,32.52,,,51.0,,,,,,,127.0,7.24,8.0,,9.3,,,,,,,,,,25.4,38.22,,,,,,
עקרון - בית אלעזרי בסכרי המדי,21/01/1974 00:00,18178,,,,,,72.0,,,,,,,,,,,,,,,,,,,,3.335,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,21/01/2021 00:00,18178,,,80.2,,,,,,,,,,253.0,10.3,31.0,,36.6,,,,,,,,,,103.7,141.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,21/01/2021 14:05,18178,,,109.6,,,,,,,,,,321.0,12.1,,,45.5,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,21/02/1983 00:00,18178,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,21/12/1966 00:00,18178,,,,,,158.0,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,21/12/1972 00:00,18178,,,,,,59.0,,,,,,,,,,,,,,,,,,,,0.193,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,21/12/2020 09:55,18178,,,,,,,,,,,,,252.0,8.1,,,23.2,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,22/01/1970 00:00,18178,,,,,,56.0,,,,,,,,,,,,,,,,,,,,7.13,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,22/01/2003 08:50,18178,0.198,,64.17,,,211.05,,,,,,,177.1,12.6,24.88,,19.47,,,,,,,,,,50.3,109.3,,,,,,
עקרון - בית אלעזרי בסכרי המדי,22/02/1997 00:00,18178,,0.29,60.0,,,184.0,,,,,,,139.0,9.0,17.0,,14.0,,,,,,,,,,53.0,102.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,22/02/2009 13:50,18178,,,65.3,,,258.3,,,,,,,170.1,9.6,23.7,,11.0,,,,,,,,,,76.2,128.8,,,,,,
עקרון - בית אלעזרי בסכרי המדי,22/03/1969 00:00,18178,,,,,,85.6,,,,,,,,,,,,,,,,,,,,5.215,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,22/11/1964 00:00,18178,,,,,,54.0,,,,,,,,,,,,,,,,,,,,4.02,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,22/11/2004 00:00,18178,0.084,,41.2,,,40.99,,,,,,,158.0,8.5,8.0,,9.85,,,,,,,,,,0.0,27.7,0.227,,,,,
עקרון - בית אלעזרי בסכרי המדי,23/01/1969 00:00,18178,,,,,,45.0,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,23/01/1970 00:00,18178,,,,,,77.6,,,,,,,,,,,,,,,,,,,,2.87,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,23/01/1997 00:00,18178,,0.1,48.0,,,106.0,,,,,,,120.0,7.0,13.0,,10.0,,,,,,,,,,36.0,52.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,23/12/2012 11:50,18178,,,77.4,,,246.3,,,,,,,227.0,11.8,29.2,,19.5,,,,,,,,,,80.4,129.3,,,,,,
עקרון - בית אלעזרי בסכרי המדי,24/01/1983 00:00,18178,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,24/02/1988 00:00,18178,,,55.0,,,68.0,,,,,,,226.0,4.2,13.5,,20.0,,,,,,,,,,36.0,53.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,25/01/1983 00:00,18178,,,,,,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,25/02/1988 00:00,18178,,,80.0,,,179.0,,,,,,,262.0,6.3,24.0,,36.0,,,,,,,,,,70.0,103.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,25/12/1987 00:00,18178,,,51.0,,,93.0,,,,,,,162.0,8.6,12.0,,46.0,,,,,,,,,,44.0,53.0,,,,,,
עקרון - בית אלעזרי בסכרי המדי,26/01/2021 00:00,18178,,,,,,,,,,,,,367.0,,,,52.52,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,26/02/2003 15:00,18178,0.097,,42.97,,,47.8,,,,,,,160.5,5.47,9.22,,11.39,,,,,,,,,,16.0,36.08,,,,,,
עקרון - בית אלעזרי בסכרי המדי,26/02/2010 13:50,18178,,0.1,30.011,,,39.1,,,,,,,,6.427,7.009,,15.2,,,,,,,,,,19.7,25.686,,,,,,
עקרון - בית אלעזרי בסכרי המדי,26/11/2020 00:00,18178,,,36.0,,,99.4,,,,,,,105.0,8.1,12.0,,19.5,,,,,,,,,,38.7,53.7,,,,,,
עקרון - בית אלעזרי בסכרי המדי,27/01/2008 15:10,18178,,1.2,62.2,,,,,,,,,,206.0,14.5,,,22.7,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,27/02/2003 12:45,18178,0.157,,57.74,,,106.83,,,,,,,197.0,8.5,16.95,,17.72,,,,,,,,,,37.8,72.6,,,,,,
עקרון - בית אלעזרי בסכרי המדי,28/01/1969 00:00,18178,,,,,,41.6,,,,,,,,,,,,,,,,,,,,1.68,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,28/02/2009 13:00,18178,,,37.6,,,75.5,,,,,,,121.5,8.0,9.7,,14.6,,,,,,,,,,38.9,45.8,,,,,,
עקרון - בית אלעזרי בסכרי המדי,28/11/1976 00:00,18178,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עקרון - בית אלעזרי בסכרי המדי,29/01/1962 00:00,18178,,,,,,20.0,,,304.0,,,13.6,,,,,,,,,,,,,,4.683,,,,,195.0,,,
עקרון - בית אלעזרי בסכרי המדי,30/01/1956 00:00,18178,,,,,,31.0,,,,,,,,,,,,,,,,,,,,2.275,,,,,200.0,,,
עקרון - בית אלעזרי בסכרי המדי,31/01/1958 00:00,18178,,,,,,83.0,,,,,,,,,,,,,,,,,,,,0.103,,,,,319.0,,,
עקרון - בית אלעזרי בסכרי המדי,31/01/2008 09:00,18178,0.117,1.0,55.2,,,112.5,,,,,,,164.3,9.86,15.64,,24.5,,,,,,,,,,43.5,69.9,,,,,,
עקרון - בית אלעזרי בסכרי המדי,31/01/2013 14:45,18178,,,24.5,,,25.3,,,,,,,110.0,4.5,5.8,,8.0,,,,,,,,,,13.2,26.3,,,,,,
ערוגות,07/02/2022 17:18,48155,,0.3,64.9,,,93.7,,,,,,,229.0,7.0,27.7,,24.0,,,,,,,,,,75.6,63.9,,,,,,
ערוגות,08/01/2015 00:00,48155,,,47.589,,,50.94,,,,,,,134.0,3.526,10.752,,12.57,,,,,,,,,,61.28,32.468,,,,,,
ערוגות,11/03/1986 00:00,48155,,,,,,105.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
ערוגות,16/05/1997 00:00,48155,,0.1,97.0,,,96.0,,,,,0.42,,184.0,10.0,23.0,,27.0,,,,,,,,,,165.0,63.0,,,,,,
ערוגות,18/05/1997 00:00,48155,,0.09,56.0,,,106.0,,,,,0.44,,206.0,5.0,28.0,,13.0,,,,,,,,,,59.0,69.0,,,,,,
ערוגות,18/12/1985 00:00,48155,,,,,,78.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,
ערוגות,24/12/1986 00:00,48155,,,,,,72.0,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,
ערוגות,25/05/1988 00:00,48155,,,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ערוגות,26/02/1985 00:00,48155,,,40.0,,,28.0,,,,,,,133.0,4.0,6.5,,3.0,,,,,,,,,,19.5,18.6,,,,,,
ערוגות,26/08/1988 00:00,48155,,,,,,110.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,
ערוגות,27/01/2022 12:10,48155,,,71.4,,,,,,,,,,173.0,7.5,,,27.5,,,,,,,,,,85.5,,,,,,,
ערוגות,28/09/2000 00:00,48155,,0.32,,,,108.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,
ערוגות,31/10/1986 00:00,48155,,,,,,108.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,
ערוגות במעלה כביש90,09/01/2013 13:50,48156,,,54.0,,,21.6,,,,,,,184.0,3.4,7.5,,11.6,,,,,,,,,,23.2,14.7,,,,,,
ערוגות במעלה כביש90,12/03/2023 00:00,48156,,0.338,58.5,,,,,,,,,,223.0,3.29,,,,,,,,,,,,,,,,,,,,
ערוגות במעלה כביש90,23/01/2012 13:10,48156,,,45.27,,,49.61,,,,,,,164.0,4.82,12.32,,12.9,,,,,,,,,,36.57,29.04,,,,,,
פארן - גבול מערבי,19/10/1997 00:00,57130,,0.0,89.0,,,89.0,,,,,,,105.0,12.0,11.0,,22.0,,,,,,,,,,158.0,54.0,,,,,,
פארן - כביש הערבה,06/02/2013 00:00,57190,,,51.9,,,16.6,,,,,,,125.0,4.1,3.8,,15.3,,,,,,,,,,43.6,11.2,,,,,,
פארן - כביש הערבה,15/03/2023 00:00,57190,,0.0,,,,,,,,,,,,5.98,,,,,,,,,,,,,,,,,,3.375,3.83,
פארן - כביש הערבה,18/01/2010 14:45,57190,,,97.45,,,50.4,,,,,,,164.0,7.476,12.147,,2.7,,,,,,,,,,190.9,35.658,,,,,,
פארן - כביש הערבה,25/02/2020 10:10,57190,,,43.2,,,17.0,,,,,,,129.0,5.8,3.3,,,,,,,,,,,,34.1,12.0,,,,,,
פארן - צוואר הבקבוק,10/03/2014 00:00,57165,,,58.1,,,35.7,,,,,,,117.0,3.5,5.0,,6.8,,,,,,,,,,92.1,26.6,,,,,,
פארן - צוואר הבקבוק,18/01/2010 13:57,57165,,,75.332,,,42.8,,,,,,,127.4,5.735,9.713,,4.1,,,,,,,,,,148.5,36.405,,,,,,
פארן - צוואר הבקבוק,26/10/2015 12:00,57165,,,44.3,,,21.4,,,,,,,143.0,4.3,4.2,,6.3,,,,,,,,,,35.1,17.0,,,,,,
פידאן,08/05/2014 00:00,59181,,,129.6,,,38.0,,,,,,,249.0,9.8,24.2,,0.4,,,,,,,,,,251.9,33.5,,,,,,
צאלים,08/02/2023 10:00,48141,,,34.4,,,15.0,,,,,,,138.0,5.9,7.2,,8.1,,,,,,,,,,16.7,21.4,,,,,,
צאלים,27/01/2022 13:15,48141,,,44.8,,,13.1,,,,,,,198.0,5.5,8.7,,7.2,,,,,,,,,,13.6,20.4,,,,,,
ציחור,18/01/2010 13:45,57180,,,50.288,,,17.2,,,,,,,131.7,4.347,4.148,,5.8,,,,,,,,,,35.0,13.035,,,,,,
צין  עליון - עבדת,01/01/2022 10:30,55106,,,36.3,,,15.1,,,,,,,128.0,7.0,4.3,,3.6,,,,,,,,,,15.4,,,,,,,
צין  עליון - עבדת,07/02/2019 09:50,55106,,,40.7,,,7.9,,,,,,,171.0,7.2,4.8,,8.8,,,,,,,,,,,13.2,,,,,,
צין  עליון - עבדת,09/03/2014 00:00,55106,,,40.3,,,10.2,,,,,,,174.0,5.1,5.7,,0.8,,,,,,,,,,11.2,13.4,,,,,,
צין  עליון - עבדת,11/01/2015 00:00,55106,,,32.724,,,12.01,,,,,,,123.0,4.009,3.897,,5.86,,,,,,,,,,10.47,11.605,,,,,,
צין  עליון - עבדת,13/04/2016 00:00,55106,,,47.9,,,6.9,,,,,,,174.0,4.8,3.7,,5.6,,,,,,,,,,9.0,9.1,,,,,,
צין  עליון - עבדת,14/03/2014 00:00,55106,,,30.0,,,7.0,,,,,,,125.0,2.7,3.3,,5.6,,,,,,,,,,8.2,10.6,,,,,,
צין  עליון - עבדת,18/01/2010 00:00,55106,,,35.511,,,13.3,,,,,,,128.1,4.69,5.051,,2.9,,,,,,,,,,21.3,12.907,,,,,,
צין  עליון - עבדת,19/01/2010 09:45,55106,,0.1,38.555,,,12.3,,,,,,,124.9,4.127,4.422,,4.5,,,,,,,,,,19.5,10.751,,,,,,
צין  עליון - עבדת,27/12/2022 00:00,55106,,,28.8,,,9.635,,,,,,,135.0,6.173,3.405,,2.941,,,,,,,,,,12.057,16.86,,,,1.538,4.69,
צין - מערבית לכביש הערבה,07/11/1994 00:00,55190,,,,,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
צין - מערבית לכביש הערבה,10/03/2014 00:00,55190,,,150.9,,,381.8,,,,,,,139.0,13.1,31.9,,89.6,,,,,,,,,,273.2,188.9,,,,,,
